region_code,region_name_fi,comparison_period,steering_risk_level,triggered_rule_count,evaluated_rule_count,triggered_rules,evaluated_rules,data_quality_notes,missing_guardrails,activity_per_real_cost_delta,continuity_delta,experienced_access_delta,service_adequacy_delta,quality_balance_delta,wait_over_7d_delta_pct_points,primary_care_real_cost_delta_eur,emergency_visits_delta_per_1000,avoidable_hospitalizations_delta_per_100000,quality_balance_2022,quality_balance_2024,activity_per_real_cost_2022,activity_per_real_cost_2024
HVA-01,Itä-Uudenmaan hyvinvointialue,2022-2024,watch_signal,1,4,continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-14.77,-14.7,4.24,4.37,-1.73,-9.6,110.42,-19.9,-417.0,97.31,95.58,91.78,77.01
HVA-02,Keski-Uudenmaan hyvinvointialue,2022-2024,watch_signal,1,4,continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-17.81,-14.7,0.0,2.49,-3.55,14.9,-1.95,148.2,-309.0,88.38,84.83,60.33,42.52
HVA-03,Länsi-Uudenmaan hyvinvointialue,2022-2024,watch_signal,1,4,wait_denominator_conflict,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-22.75,0.0,2.19,-7.23,-0.8,-12.7,100.6,10.0,-119.0,96.08,95.28,122.01,99.26
HVA-04,Vantaan ja Keravan hyvinvointialue,2022-2024,insufficient_data,0,2,,wait_denominator_conflict|cost_shift_signal,2023_governance_and_recording_break|known_2022_visit_recording_deficit,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,77.19,,-1.46,4.61,,41.4,49.58,554.0,-242.0,,93.34,89.08,166.27
HVA-05,Varsinais-Suomen hyvinvointialue,2022-2024,watch_signal,1,4,continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-12.01,-8.82,2.04,4.74,-1.61,-16.2,48.57,28.1,-107.0,98.95,97.34,106.51,94.5
HVA-06,Satakunnan hyvinvointialue,2022-2024,high_signal,2,4,activity_quality_conflict|continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,3.68,-8.83,0.43,-1.49,-2.29,0.9,-22.19,-36.8,-19.0,91.74,89.45,110.01,113.69
HVA-07,Kanta-Hämeen hyvinvointialue,2022-2024,watch_signal,1,4,continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-2.3,-2.94,4.38,-1.25,1.53,-1.9,41.47,-9.8,-3.0,98.11,99.64,142.46,140.16
HVA-08,Pirkanmaan hyvinvointialue,2022-2024,no_observed_signal,0,4,,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-11.86,2.94,8.63,1.62,2.2,-2.2,72.04,107.6,-91.0,95.29,97.49,121.71,109.85
HVA-09,Päijät-Hämeen hyvinvointialue,2022-2024,high_signal,2,4,wait_denominator_conflict|continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-56.36,-8.82,6.44,-2.99,-1.6,-14.8,137.93,97.6,-207.0,90.15,88.55,163.77,107.41
HVA-10,Kymenlaakson hyvinvointialue,2022-2024,watch_signal,1,4,continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-20.65,-17.64,8.04,6.86,-1.23,-7.5,319.61,-64.4,-387.0,86.57,85.34,102.26,81.61
